n,a,k,L,d
1,1,0,0,2
2,3,0,0,2
3,5,2,2,1
4,6,5,1,1
5,7,0,0,4
6,11,3,3,2
7,13,2,6,1
8,14,13,1,1
9,15,13,1,2
10,17,3,5,2
11,19,2,9,1
12,20,19,1,1
13,21,2,10,1
14,22,3,7,1
15,23,19,1,4
16,27,5,5,2
17,29,2,14,1
18,30,29,1,1
19,31,29,1,2
20,33,31,1,2
21,35,3,11,2
22,37,2,18,1
23,38,37,1,1
24,39,37,1,2
25,41,2,20,1
26,42,41,1,1
27,43,2,21,1
28,44,43,1,1
29,45,2,22,1
30,46,3,15,1
31,47,3,15,2
32,49,47,1,2
33,51,7,7,2
34,53,2,26,1
35,54,53,1,1
36,55,2,27,1
37,56,5,11,1
38,57,5,11,2
39,59,2,29,1
40,60,59,1,1
41,61,2,30,1
42,62,59,1,3
43,65,2,32,1
44,66,5,13,1
45,67,2,33,1
46,68,67,1,1
47,69,2,34,1
48,70,3,23,1
49,71,3,23,2
50,73,23,3,4
51,77,2,38,1
52,78,7,11,1
53,79,5,15,4
54,83,3,27,2
55,85,2,42,1
56,86,5,17,1
57,87,5,17,2
58,89,3,29,2
59,91,2,45,1
60,92,7,13,1
61,93,2,46,1
62,94,3,31,1
63,95,2,47,1
64,96,5,19,1
65,97,5,19,2
66,99,97,1,2
67,101,2,50,1
68,102,101,1,1
69,103,101,1,2
70,105,103,1,2
71,107,3,35,2
72,109,2,54,1
73,110,109,1,1
74,111,109,1,2
75,113,2,56,1
76,114,113,1,1
77,115,2,57,1
78,116,3,38,2
79,118,3,39,1
80,119,5,23,4
81,123,11,11,2
82,125,2,62,1
83,126,5,25,1
84,127,5,25,2
85,129,127,1,2
86,131,2,65,1
87,132,131,1,1
88,133,2,66,1
89,134,7,19,1
90,135,7,19,2
91,137,2,68,1
92,138,137,1,1
93,139,2,69,1
94,140,139,1,1
95,141,2,70,1
96,142,3,47,1
97,143,3,47,2
98,145,11,13,2
99,147,5,29,2
100,149,2,74,1
101,150,149,1,1
102,151,149,1,2
103,153,2,76,1
104,154,3,51,1
105,155,3,51,2
106,157,2,78,1
107,158,157,1,1
108,159,157,1,2
109,161,3,53,2
110,163,2,81,1
111,164,163,1,1
112,165,2,82,1
113,166,3,55,1
114,167,2,83,1
115,168,167,1,1
116,169,5,33,4
117,173,2,86,1
118,174,9,19,3
119,177,5,35,2
120,179,3,59,2
121,181,2,90,1
122,182,181,1,1
123,183,2,91,1
124,184,3,61,1
125,185,2,92,1
126,186,5,37,1
127,187,2,93,1
128,188,11,17,1
129,189,2,94,1
130,190,3,63,1
131,191,3,63,2
132,193,191,1,2
133,195,193,1,2
134,197,2,98,1
135,198,197,1,1
136,199,197,1,2
137,201,199,1,2
138,203,2,101,1
139,204,7,29,1
140,205,2,102,1
141,206,5,41,1
142,207,5,41,2
143,209,2,104,1
144,210,11,19,1
145,211,2,105,1
146,212,211,1,1
147,213,2,106,1
148,214,3,71,1
149,215,3,71,2
150,217,5,43,2
151,219,2,109,1
152,220,3,73,1
153,221,2,110,1
154,222,13,17,1
155,223,2,111,1
