n,a,k,L,d
1,120,0,0,60
2,180,120,1,60
3,240,0,0,120
4,360,75,4,60
5,420,72,5,60
6,480,38,12,24
7,504,39,12,36
8,540,80,6,60
9,600,90,6,60
10,660,18,36,12
11,672,52,12,48
12,720,66,10,60
13,780,72,10,60
14,840,65,12,60
15,900,70,12,60
16,960,57,16,48
17,1008,78,12,72
18,1080,160,6,120
19,1200,76,15,60
20,1260,75,16,60
21,1320,27,48,24
22,1344,104,12,96
23,1440,76,18,72
24,1512,61,24,48
25,1560,32,48,24
26,1584,43,36,36
27,1620,65,24,60
28,1680,130,12,120
29,1800,73,24,48
30,1848,32,57,24
31,1872,103,18,18
32,1890,31,60,30
33,1920,62,30,60
34,1980,54,36,36
35,2016,83,24,24
36,2040,66,30,60
37,2100,68,30,60
38,2160,89,24,24
39,2184,116,18,96
40,2280,74,30,60
41,2340,24,97,12
42,2352,97,24,24
43,2376,28,84,24
44,2400,152,15,120
45,2520,150,16,120
46,2640,54,48,48
47,2688,223,12,12
48,2700,66,40,60
49,2760,229,12,12
50,2772,96,28,84
51,2856,48,59,24
52,2880,94,30,60
53,2940,64,45,60
54,3000,31,96,24
55,3024,83,36,36
56,3060,75,40,60
57,3120,103,30,30
58,3150,27,116,18
59,3168,131,24,24
60,3192,131,24,48
61,3240,89,36,36
62,3276,271,12,24
63,3300,72,45,60
64,3360,66,50,60
65,3420,70,48,60
66,3480,52,66,48
67,3528,96,36,72
68,3600,146,24,96
69,3696,27,136,24
70,3720,28,132,24
71,3744,103,36,36
72,3780,62,60,60
73,3840,63,60,60
74,3900,64,60,60
75,3960,81,48,72
76,4032,83,48,48
77,4080,67,60,60
78,4140,68,60,60
79,4200,98,42,84
80,4284,59,72,36
81,4320,89,48,48
82,4368,103,42,42
83,4410,60,73,30
84,4440,73,60,60
85,4500,48,93,36
86,4536,32,141,24
87,4560,75,60,60
88,4620,76,60,60
89,4680,48,97,24
90,4704,97,48,48
91,4752,131,36,36
92,4788,24,199,12
93,4800,79,60,60
94,4860,67,72,36
95,4896,28,174,24
96,4920,150,32,120
97,5040,83,60,60
98,5100,63,80,60
99,5160,68,75,60
100,5220,86,60,60
101,5280,439,12,12
102,5292,93,56,84
103,5376,223,24,24
104,5400,89,60,60
105,5460,72,75,60
106,5520,229,24,24
107,5544,51,108,36
108,5580,42,132,36
109,5616,233,24,24
110,5640,33,170,30
111,5670,40,141,30
112,5700,18,316,12
113,5712,59,96,48
114,5760,53,108,36
115,5796,102,56,84
116,5880,97,60,60
117,5940,70,84,60
118,6000,62,96,48
119,6048,83,72,72
120,6120,125,48,120
121,6240,103,60,60
122,6300,54,116,36
123,6336,263,24,24
124,6360,32,198,24
125,6384,131,48,96
126,6480,89,72,72
127,6552,271,24,48
128,6600,109,60,60
129,6660,66,100,60
130,6720,132,50,120
131,6840,32,213,24
132,6864,569,12,36
133,6900,229,30,30
134,6930,46,150,30
135,6960,69,100,60
136,7020,72,97,36
137,7056,293,24,24
138,7080,293,24,48
139,7128,593,12,12
140,7140,118,60,60
141,7200,68,105,60
142,7260,72,100,60
143,7320,32,228,24
144,7344,42,174,36
145,7380,24,307,12
146,7392,51,144,48
147,7440,56,132,48
148,7488,103,72,72
149,7560,124,60,120
150,7680,53,144,48
151,7728,643,12,12
152,7740,64,120,60
153,7800,128,60,120
154,7920,131,60,60
155,7980,66,120,60
156,8040,48,167,24
157,8064,223,36,36
158,8100,67,120,60
159,8160,271,30,30
160,8190,36,227,18
161,8208,113,72,72
162,8280,229,36,36
163,8316,98,84,84
164,8400,349,24,24
165,8424,233,36,36
166,8460,70,120,60
167,8520,353,24,48
168,8568,23,372,12
169,8580,71,120,60
170,8640,178,48,96
171,8736,33,264,24
172,8760,75,116,60
173,8820,73,120,60
174,8880,146,60,120
175,9000,93,96,72
176,9072,64,141,48
177,9120,151,60,60
178,9180,76,120,60
179,9240,152,60,120
180,9360,96,97,48
181,9408,223,42,42
182,9450,60,157,30
183,9480,48,197,24
184,9504,263,36,36
185,9540,44,216,36
186,9576,48,199,24
187,9600,90,106,60
188,9660,64,150,60
189,9720,32,303,24
190,9744,96,101,48
191,9792,271,36,36
192,9828,24,409,12
193,9840,163,60,60
194,9900,80,123,60
195,9960,123,80,120
196,10080,167,60,60
197,10140,63,160,60
198,10200,65,156,60
199,10260,48,213,36
200,10296,32,321,24
201,10320,142,72,96
202,10416,433,24,24
203,10440,173,60,60
204,10500,72,145,60
205,10560,439,24,24
206,10584,293,36,36
207,10620,64,165,60
208,10680,50,213,30
209,10710,84,127,42
210,10752,223,48,48
211,10800,178,60,120
212,10920,48,227,24
213,10944,54,202,36
214,10980,65,168,60
215,11040,229,48,48
216,11088,81,136,72
217,11160,74,150,60
218,11220,24,467,12
219,11232,233,48,48
220,11280,66,170,60
221,11340,80,141,60
222,11400,36,316,24
223,11424,118,96,96
224,11520,383,30,30
225,11550,84,137,42
226,11592,52,222,48
227,11640,193,60,60
228,11700,97,120,60
229,11760,194,60,120
230,11880,131,90,90
231,11970,60,199,30
232,12000,18,666,12
233,12012,997,12,48
234,12060,72,167,36
235,12096,503,24,24
236,12120,67,180,60
237,12180,101,120,60
238,12240,202,60,120
239,12360,75,164,60
240,12420,22,564,12
241,12432,72,172,48
242,12480,69,180,60
243,12540,64,195,60
244,12600,87,144,72
245,12672,263,48,48
246,12720,64,198,48
247,12768,1063,12,12
248,12780,80,159,60
249,12840,1069,12,12
250,12852,23,558,18
251,12870,97,132,66
252,12936,48,269,24
253,12960,75,172,60
254,13020,72,180,60
255,13080,32,408,24
256,13104,44,297,36
257,13140,109,120,60
258,13200,439,30,30
259,13230,33,400,30
260,13260,66,200,60
261,13320,132,100,120
262,13440,26,516,24
263,13464,373,36,36
264,13500,64,210,60
265,13560,563,24,48
266,13608,51,266,42
267,13650,60,227,30
268,13680,64,213,48
269,13728,57,240,48
270,13776,36,382,24
271,13800,229,60,60
272,13860,69,200,60
273,13920,138,100,120
274,14040,97,144,72
275,14112,293,48,48
276,14160,75,188,60
277,14220,72,197,36
278,14256,593,24,24
279,14280,91,156,84
280,14364,72,199,36
281,14400,52,276,48
282,14448,49,294,42
283,14490,60,241,30
284,14520,241,60,60
285,14580,48,303,36
286,14616,32,456,24
287,14640,57,256,48
288,14688,1223,12,12
289,14700,61,240,60
290,14760,48,307,24
291,14784,1229,12,36
292,14820,34,435,30
293,14850,38,390,30
294,14880,65,228,60
295,14940,46,324,36
296,14976,28,534,24
297,15000,56,267,48
298,15048,78,192,72
299,15120,251,60,60
300,15180,63,240,60
301,15240,72,211,48
302,15288,19,804,12
303,15300,120,127,60
304,15360,114,134,84
305,15444,24,643,12
306,15456,643,24,24
307,15480,257,60,60
308,15540,72,215,60
309,15600,33,472,24
310,15624,433,36,36
311,15660,1301,12,48
312,15708,16,981,12
313,15720,523,30,30
314,15750,44,357,42
315,15792,64,246,48
316,15840,439,36,36
317,15876,40,396,36
318,15912,661,24,48
319,15960,75,212,60
320,16020,70,228,60
321,16080,96,167,48
322,16128,383,42,42
323,16170,60,269,30
324,16200,134,120,120
325,16320,271,60,60
326,16380,72,227,36
327,16416,683,24,24
328,16440,27,608,24
329,16464,37,444,36
330,16500,120,137,60
331,16560,229,72,72
332,16632,691,24,48
333,16680,277,60,60
334,16740,120,139,60
335,16800,39,430,30
336,16830,36,467,18
337,16848,233,72,72
338,16920,99,170,90
339,17010,60,283,30
340,17040,283,60,60
341,17100,54,316,36
342,17136,31,552,24
343,17160,75,228,60
344,17220,65,264,60
345,17280,159,108,108
346,17388,16,1086,12
347,17400,32,543,24
348,17424,42,414,36
349,17460,24,727,12
350,17472,66,264,48
351,17520,47,372,36
352,17556,91,192,84
353,17640,146,120,120
354,17760,739,24,24
355,17784,30,592,24
356,17808,1483,12,12
357,17820,593,30,30
358,17850,33,540,30
359,17880,66,270,60
360,17940,18,996,12
361,17952,373,48,48
362,18000,65,276,60
363,18060,72,250,60
364,18120,26,696,24
365,18144,503,36,36
366,18180,42,432,36
367,18216,48,379,24
368,18240,607,30,30
369,18270,101,180,90
370,18360,152,120,120
371,18480,307,60,60
372,18540,1543,12,24
373,18564,48,386,36
374,18600,773,24,48
375,18648,86,216,72
376,18720,97,192,96
377,18816,27,696,24
378,18840,313,60,60
379,18900,120,157,60
380,18960,96,197,48
381,19008,263,72,72
382,19080,50,381,30
383,19110,36,530,30
384,19140,24,797,12
385,19152,96,199,48
386,19200,66,290,60
387,19260,64,300,60
388,19320,90,214,60
389,19380,1613,12,24
390,19404,72,269,36
391,19440,64,303,48
392,19488,18,1082,12
393,19500,33,590,30
394,19530,39,500,30
395,19560,33,592,24
396,19584,54,362,36
397,19620,48,408,36
398,19656,48,409,24
399,19680,90,218,60
400,19740,80,246,60
401,19800,32,618,24
402,19824,64,309,48
403,19872,56,354,48
