n;A032924;weight;level;jump
1;1;0;0;1
2;2;0;0;2
3;4;3;1;1
4;5;3;1;2
5;7;2;3;1
6;8;0;0;5
7;13;2;6;1
8;14;3;4;2
9;16;3;5;1
10;17;6;2;5
11;22;3;7;1
12;23;3;7;2
13;25;2;12;1
14;26;0;0;14
15;40;3;13;1
16;41;3;13;2
17;43;2;21;1
18;44;13;3;5
19;49;2;24;1
20;50;3;16;2
21;52;3;17;1
22;53;39;1;14
23;67;2;33;1
24;68;3;22;2
25;70;3;23;1
26;71;6;11;5
27;76;3;25;1
28;77;3;25;2
29;79;2;39;1
30;80;0;0;41
31;121;2;60;1
32;122;3;40;2
33;124;3;41;1
34;125;6;20;5
35;130;3;43;1
36;131;3;43;2
37;133;2;66;1
38;134;15;8;14
39;148;3;49;1
40;149;3;49;2
41;151;2;75;1
42;152;7;21;5
43;157;2;78;1
44;158;3;52;2
45;160;3;53;1
46;161;60;2;41
47;202;3;67;1
48;203;3;67;2
49;205;2;102;1
50;206;67;3;5
51;211;2;105;1
52;212;3;70;2
53;214;3;71;1
54;215;67;3;14
55;229;2;114;1
56;230;3;76;2
57;232;3;77;1
58;233;6;38;5
59;238;3;79;1
60;239;3;79;2
61;241;2;120;1
62;242;0;0;122
63;364;3;121;1
64;365;3;121;2
65;367;2;183;1
66;368;11;33;5
67;373;2;186;1
68;374;3;124;2
69;376;3;125;1
70;377;33;11;14
71;391;2;195;1
72;392;3;130;2
73;394;3;131;1
74;395;6;65;5
75;400;3;133;1
76;401;3;133;2
77;403;2;201;1
78;404;121;3;41
79;445;2;222;1
80;446;3;148;2
81;448;3;149;1
82;449;6;74;5
83;454;3;151;1
84;455;3;151;2
85;457;2;228;1
86;458;37;12;14
87;472;3;157;1
88;473;3;157;2
89;475;2;237;1
90;476;157;3;5
91;481;2;240;1
92;482;3;160;2
93;484;3;161;1
94;485;363;1;122
95;607;2;303;1
96;608;3;202;2
97;610;3;203;1
98;611;6;101;5
99;616;3;205;1
100;617;3;205;2
101;619;2;309;1
102;620;101;6;14
103;634;3;211;1
104;635;3;211;2
105;637;2;318;1
106;638;211;3;5
107;643;2;321;1
108;644;3;214;2
109;646;3;215;1
110;647;101;6;41
111;688;3;229;1
112;689;3;229;2
113;691;2;345;1
114;692;229;3;5
115;697;2;348;1
116;698;3;232;2
117;700;3;233;1
118;701;229;3;14
119;715;2;357;1
120;716;3;238;2
121;718;3;239;1
122;719;6;119;5
123;724;3;241;1
124;725;3;241;2
125;727;2;363;1
126;728;0;0;365
127;1093;2;546;1
128;1094;3;364;2
129;1096;3;365;1
130;1097;6;182;5
131;1102;3;367;1
132;1103;3;367;2
133;1105;2;552;1
134;1106;21;52;14
135;1120;3;373;1
136;1121;3;373;2
137;1123;2;561;1
138;1124;373;3;5
139;1129;2;564;1
140;1130;3;376;2
141;1132;3;377;1
142;1133;42;26;41
143;1174;3;391;1
144;1175;3;391;2
145;1177;2;588;1
146;1178;17;69;5
147;1183;2;591;1
148;1184;3;394;2
149;1186;3;395;1
150;1187;17;69;14
151;1201;2;600;1
152;1202;3;400;2
153;1204;3;401;1
154;1205;6;200;5
155;1210;3;403;1
156;1211;3;403;2
157;1213;2;606;1
158;1214;156;7;122
159;1336;3;445;1
160;1337;3;445;2
161;1339;2;669;1
162;1340;15;89;5
163;1345;2;672;1
164;1346;3;448;2
165;1348;3;449;1
166;1349;15;89;14
167;1363;2;681;1
168;1364;3;454;2
169;1366;3;455;1
170;1367;6;227;5
171;1372;3;457;1
172;1373;3;457;2
173;1375;2;687;1
174;1376;89;15;41
175;1417;2;708;1
176;1418;3;472;2
177;1420;3;473;1
178;1421;6;236;5
179;1426;3;475;1
180;1427;3;475;2
181;1429;2;714;1
182;1430;24;59;14
183;1444;3;481;1
184;1445;3;481;2
185;1447;2;723;1
186;1448;13;111;5
187;1453;2;726;1
188;1454;3;484;2
189;1456;3;485;1
190;1457;546;2;365
191;1822;3;607;1
192;1823;3;607;2
193;1825;2;912;1
194;1826;607;3;5
195;1831;2;915;1
196;1832;3;610;2
197;1834;3;611;1
198;1835;607;3;14
199;1849;2;924;1
200;1850;3;616;2
201;1852;3;617;1
202;1853;6;308;5
203;1858;3;619;1
204;1859;3;619;2
205;1861;2;930;1
206;1862;607;3;41
207;1903;2;951;1
208;1904;3;634;2
209;1906;3;635;1
210;1907;6;317;5
211;1912;3;637;1
212;1913;3;637;2
